城市,当前确诊,新增人数,累计确诊,治愈人数,死亡人数
西藏,0,0,1,1,0
澳门,67,21,150,83,0
青海,0,0,147,147,0
台湾,3593349,39508,3613345,13742,6254
香港,263578,255,336658,63682,9398
贵州,0,0,185,183,2
吉林,0,0,40295,40290,5
新疆,0,0,1008,1005,3
宁夏,0,0,122,122,0
内蒙古,87,-19,2097,2009,1
甘肃,1,0,682,679,2
天津,23,5,2008,1982,3
山西,1,0,423,422,0
辽宁,8,-5,1718,1708,2
黑龙江,1,-1,2988,2974,13
海南,0,0,288,282,6
河北,1,0,2007,1999,7
陕西,19,1,3329,3307,3
云南,16,1,2174,2156,2
广西,0,-1,1649,1647,2
福建,44,-2,3412,3367,1
上海,95,1,63236,62546,595
北京,78,-19,3678,3591,9
江苏,10,1,2245,2235,0
四川,16,1,2373,2354,3
山东,12,-1,2749,2730,7
江西,3,0,1386,1382,1
重庆,9,1,729,714,6
安徽,0,0,1065,1059,6
湖南,4,0,1401,1393,4
河南,0,0,3183,3161,22
广东,94,1,7431,7329,8
浙江,15,1,3154,3138,1
湖北,3,1,68402,63887,4512
