公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
平安银行股份有限公司,广东,深圳市,417.88亿,101.32亿,36115,1991-04-03,银行,商业银行业务
万科企业股份有限公司,广东,深圳市,622.64亿,25.07亿,140565,1991-01-29,房地产开发,房地产、物业管理、投资咨询
深圳国华网安科技股份有限公司,广东,深圳市,3653.12万,429.93万,264,1991-01-14,生物医药,移动应用安全服务、移动互联网游戏
深圳世纪星源股份有限公司,广东,深圳市,4816.16万,831.65万,629,1990-12-10,环保工程、物业管理,酒店经营、物业管理、环保业务
深圳市振业(集团)股份有限公司,广东,深圳市,9.18亿,2.84亿,397,1992-04-27,房地产开发,房地产
深圳市全新好股份有限公司,广东,深圳市,1315.51万,-132.39万,76,1992-04-13,物业经营,物业管理及停车费、房屋租赁、一次性口罩、纳米胶囊、杀菌纸巾
神州高铁技术股份有限公司,北京,北京市,1.49亿,-8726.28万,2394,1992-05-07,轨道交通设备,轨道交通
中国宝安集团股份有限公司,广东,深圳市,37.15亿,3.54亿,13345,1991-06-25,综合,高新技术产业、生物医药、房地产
深圳美丽生态股份有限公司,广东,深圳市,2.28亿,777.80万,278,1995-10-27,园林工程,燃气销售服务、园林建设、园林设计、苗木销售
深圳市物业发展(集团)股份有限公司,广东,深圳市,8.91亿,2.07亿,8035,1992-03-30,房地产开发,产城空间开发、物业管理服务、产业生态运营、餐饮业务、工程监理业务
中国南玻集团股份有限公司,广东,深圳市,30.07亿,5.78亿,10558,1992-02-28,玻璃,玻璃业务、电子玻璃及显示器件业务、太阳能及其他业务
沙河实业股份有限公司,广东,深圳市,809.13万,-938.72万,153,1992-06-02,房地产开发,房地产销售
康佳集团股份有限公司,广东,深圳市,98.22亿,1873.52万,17216,1992-03-27,电视机,工贸业务、彩电业务、环保业务、白电业务、半导体业务
深圳中华自行车(集团)股份有限公司,广东,深圳市,2316.33万,-21.15万,65,1992-03-31,自行车,自行车及零配件销售、锂电池材料、珠宝黄金
深圳市深粮控股股份有限公司,广东,深圳市,25.29亿,1.40亿,1246,1992-10-12,软饮料,食品和饮料及茶加工、粮油贸易及加工、粮油仓储物流及服务
深圳中恒华发股份有限公司,广东,深圳市,1.91亿,556.65万,1132,1992-04-28,电子零部件,显示器、注塑件、EPS产品、物业租赁、废料收入、水电费及其他
深圳长城开发科技股份有限公司,广东,深圳市,38.27亿,2.31亿,27051,1994-02-02,PC、服务器及硬件,存储半导体业务、自有产品、高端制造
深圳市天地(集团)股份有限公司,广东,深圳市,3.91亿,2753.23万,984,1993-04-29,商品混凝土,房地产、工业、租赁
深圳市特力(集团)股份有限公司,广东,深圳市,1.44亿,2155.02万,302,1993-06-21,汽车销售,汽车销售、汽车维修及检测、珠宝批发及零售、物业租赁及服务
飞亚达精密科技股份有限公司,广东,深圳市,13.78亿,1.18亿,4901,1993-06-03,珠宝首饰,手表品牌业务、手表零售服务业务、精密科技业务、租赁业务
深圳能源集团股份有限公司,广东,深圳市,56.98亿,5.65亿,7384,1993-09-03,火电,燃煤、燃机、水电、风电、生态环保、综合燃气
国药集团一致药业股份有限公司,广东,深圳市,160.50亿,3.90亿,38289,1993-08-09,医药商业,药品、器械耗材、诊断试剂、仪器设备
深圳经济特区房地产(集团)股份有限公司,广东,深圳市,4.15亿,8796.08万,1668,1993-09-15,房地产开发,住宅、商铺及车位、公寓
富奥汽车零部件股份有限公司,吉林,长春市,31.04亿,2.07亿,7397,1993-09-29,汽车零部件,零部件
大悦城控股集团股份有限公司,广东,深圳市,68.91亿,4.90亿,10283,1993-10-08,房地产开发,商品房销售、一级土地开发、投资物业及相关服务、酒店经营、物业及其他管理
深圳市桑达实业股份有限公司,广东,深圳市,3.22亿,1753.29万,476,1993-10-28,电子物流,电子信息、房地产及租赁、电子商贸、电子物流
神州数码集团股份有限公司,广东,深圳市,240.19亿,1.55亿,4569,1994-05-09,贸易,云管理服务及数字化方案提供商、信息技术应用创新业务、IT领域分销和增值服务商
中国天楹股份有限公司,江苏,南通市,57.85亿,1.60亿,60224,1994-04-08,垃圾发电,综合城市环境服务、废弃物处置与利用、水务综合管理、工业废弃物处置、环保装备制造
华联控股股份有限公司,广东,深圳市,5.18亿,1.39亿,806,1994-06-17,房地产开发,房产销售、房地产出租、酒店收入
深圳南山热电股份有限公司,广东,深圳市,8638.06万,-1570.97万,403,1994-07-01,火电,能源行业、工程劳务、污泥干化
深圳大通实业股份有限公司,广东,深圳市,8.07亿,1851.07万,147,1994-08-08,网络媒体,煤炭、铁精粉贸易、广告发布、民间资本管理、保理业务
中国国际海运集装箱(集团)股份有限公司,广东,深圳市,288.64亿,17.50亿,51100,1994-04-08,金属制品,集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡
东旭蓝天新能源股份有限公司,广东,深圳市,5.85亿,-8323.86万,572,1994-08-08,太阳能,物业及房屋租赁、新能源、生态环保、供应链
深圳市中洲投资控股股份有限公司,广东,深圳市,18.28亿,-1.78亿,2489,1994-09-21,房地产开发,房地产、服务、酒店、施工
深圳市纺织(集团)股份有限公司,广东,深圳市,5.53亿,6209.95万,1369,1994-08-15,显示器件,物业及租赁、纺织品、偏光片、贸易
泛海控股股份有限公司,北京,北京市,62.10亿,-2037.58万,9601,1994-09-12,房地产开发,房地产销售、物业出租、物业管理、装修工程、金融投资、金融贸易
深圳市京基智农时代股份有限公司,广东,深圳市,20.20亿,4.08亿,1305,1994-11-01,饲料,农业、房地产业、金融
深圳市德赛电池科技股份有限公司,广东,深圳市,38.43亿,1.35亿,9833,1995-03-20,电池,小型锂电池电源管理系统及封装集成业务、中型锂电池电源管理系统及封装集成业务、大型新能源汽车电池、储能电池等电源管理系统及封装集成业务
天马微电子股份有限公司,广东,深圳市,82.72亿,5.19亿,37484,1995-03-15,显示器件,电子元器件
方大集团股份有限公司,广东,深圳市,6.43亿,7696.45万,2245,1996-04-15,其他建材,智慧幕墙系统及材料产业、轨道交通设备产业、新能源产业、房地产产业
深圳市皇庭国际企业股份有限公司,广东,深圳市,1.91亿,335.79万,960,1996-07-08,物业租赁、物业管理,商业运营服务、金融服务、融资租赁服务
