面积,url,img,地区,价格,几室,简介,时间,装修,朝向
面积,url,img,地区,价格,几室,简介,时间,装修,朝向
77.04,https://open.realsee.com/lianjia/WEl2Mm2mzmP9kgmb/ND56eVW459ruKT1hqHaw9vzHoLnlY7ky/#lianjia,https://image1.ljcdn.com/110000-inspection/pc0_A2deJWLsk.jpg.710x400.jpg,碧潭园D区,84,2室2厅1厨1卫,此房满五不唯一，南北朝向，视野开阔，采光充足,2022-06-13,简装,南
143.91,https://open.realsee.com/lianjia/drj5DRnG6WEDq8Oe/aYoeb5LjNwYCPTMhrH3NDVzsYLO1dzlN/#lianjia,https://image1.ljcdn.com/x-se/hdic-frame/standard_e8484848-e753-4106-be15-3ec23c40ad21.png.533x400.jpg,商房高第,103,3室2厅1厨2卫,产权满两年  看房有钥匙  无尾款,2022-06-14,简装,南
121.98,https://open.realsee.com/lianjia/6gyq3vlgq4x97JO1/Kbjn1w8XpZzSwTyhBH7gX5pFb87DlkaB/#lianjia,https://image1.ljcdn.com/110000-inspection/pc0_28j1FgxRx_2.jpg.710x400.jpg,远大生态风景,102,3室2厅1厨2卫,远大生态风景 3室2厅 东,2022-06-13,简装,东
157.37,https://open.realsee.com/lianjia/oWxnMQkG81kDZjd8/B7yw51J9rXlhrTjhKHwl9R9T6WeEqjNX/#lianjia,https://image1.ljcdn.com/x-se/hdic-frame/standard_402bfe95-7d20-4db9-bb9f-15b039ac535c.png.533x400.jpg,恒大新世界麓院,245,4室2厅1厨2卫,精装四房 户型方正 带大露台 产权在手 看房方便,2022-06-17,精装,北 南
84.98,https://open.realsee.com/lianjia/K8xbMy5V4xGMA62d/ND56eVW459ruKT1hqHaaopDToLnlY7ky/#lianjia,https://image1.ljcdn.com/110000-inspection/apc_wOAXeDCWH_1.jpg.710x400.jpg,万科城A区,73,3室2厅1厨1卫,万科城九成新精装三房出售  满二年,2022-06-05,精装,西南
100.58,https://open.realsee.com/lianjia/novE3BBOG0o36lRK/wXmPbpLd4kBCrT5hpHl2gK7UELM9ANlZ/#lianjia,https://image1.ljcdn.com/110000-inspection/apc_yYxc6yU9y_1.jpg.710x400.jpg,龙兴苑,78.8,2室2厅1厨1卫,无尾款，无户口可迁入，业主诚心出售,2022-06-13,简装,南 北
87.76,https://open.realsee.com/lianjia/pWLy9ndPPVp3Xqja/MZ7K16Jll9dujTrhlHabrAzfoJnRjzPm/#lianjia,https://image1.ljcdn.com/x-se/hdic-frame/standard_b2e83702-387b-46d3-a638-47da8063c2f8.png.533x400.jpg,天馨家园,55,2室2厅1厨1卫,房东诚心出售:乌当区衷心地段、地铁口电梯房,2022-06-09,简装,东南 西南
126.34,https://open.realsee.com/lianjia/K8xbMy51XJ5MA62d/XZQwd58rxeBh2TghXHd2jRZtkWnVMrBl/#lianjia,https://image1.ljcdn.com/x-se/hdic-frame/standard_86c09340-84d7-40c4-9bbb-df1daafab603.png.533x400.jpg,保利凤凰湾A区,127,3室1厅1厨2卫,保利凤凰湾A区 精装3房加入户花园 产权满二单价低,2022-06-16,精装,东南
85.37,https://open.realsee.com/lianjia/lyEPD4QYK6Z3zaAV/MDVRjgL5QVlsYTjhDHNzNMkfpL3kqpQw/#lianjia,https://image1.ljcdn.com/110000-inspection/pc0_SSg15Kk9E_1.jpg.710x400.jpg,万科大都会南区,78,3室1厅1厨1卫,此房为万科大都会南区精装三房，,2022-06-14,精装,南
59.87,https://open.realsee.com/lianjia/jGKlDrlAwxvM1XJA/aYoeb5LjNwYCPTMhrH3vG9zhYLO1dzlN/#lianjia,https://image1.ljcdn.com/110000-inspection/apc_EntPRzOV8_1.jpg.710x400.jpg,中天甜蜜小镇2组团,45,2室2厅1厨1卫,甜蜜小镇满二带车位双阳台价格可谈,2022-06-17,精装,南
